Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
04:30 - 05:00,3190.18,-0.2,3190.47,3192.61,3188.3,1800,N.A.
05:00 - 05:30,3191.83,1.65,3189.66,3194.83,3188.3,1799,N.A.
05:30 - 06:00,3194.25,2.42,3192,3194.72,3190.65,1800,N.A.
06:00 - 06:30,3194.07,-0.18,3194.18,3198.19,3192.55,1800,N.A.
06:30 - 07:00,3196.68,2.61,3194.02,3196.78,3190.9,1800,N.A.
07:00 - 07:30,3194.12,-2.56,3196.6,3198.08,3193.47,1800,N.A.
07:30 - 08:00,3193.4,-0.72,3194.07,3194.37,3190.72,1800,N.A.
08:00 - 08:30,3190.46,-2.94,3193.4,3194.32,3190.14,1800,N.A.
08:30 - 09:00,3191.54,1.08,3190.45,3192.27,3188.64,1799,N.A.
09:00 - 09:30,3194.69,3.15,3191.47,3195.96,3191.45,1800,N.A.
09:30 - 10:00,3196.86,2.17,3194.69,3197.06,3190.65,1800,N.A.
10:00 - 10:30,3195.74,-1.12,3196.6,3198.32,3193.2,1800,N.A.
10:30 - 11:00,3196.04,0.3,3195.73,3196.86,3194.47,600,N.A.
20JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3210.94,14.9,3206.2,3213.81,3204.89,1796,N.A.
02:30 - 03:00,3209.8,-1.14,3210.88,3210.96,3204.32,1800,N.A.
03:00 - 03:30,3220.71,10.91,3210.41,3220.79,3208.57,1798,N.A.
03:30 - 04:00,3226.21,5.5,3220.61,3226.89,3219.11,1799,N.A.
04:00 - 04:30,3225.44,-0.77,3226.37,3226.69,3222.71,1799,N.A.
04:30 - 05:00,3219.75,-5.69,3225.44,3225.9,3217.87,1800,N.A.
05:00 - 05:30,3215.91,-3.84,3219.76,3222.15,3214.66,1799,N.A.
05:30 - 06:00,3218.42,2.51,3215.84,3221.78,3215.61,1799,N.A.
06:00 - 06:30,3218.06,-0.36,3218.42,3221.79,3216.84,1798,N.A.
06:30 - 07:00,3222.57,4.51,3218.04,3223.18,3217.97,1799,N.A.
07:00 - 07:30,3224.29,1.72,3222.53,3224.7,3221.32,1800,N.A.
07:30 - 08:00,3224.11,-0.18,3224.3,3224.99,3221.18,1800,N.A.
08:00 - 08:30,3224.61,0.5,3224.43,3224.96,3222.25,1800,N.A.
