Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
00:15 - 00:45,2849.979,6.26,2843.719,2850.219,2839.457,466,N.A.
00:45 - 01:15,2858.265,8.286,2849.979,2858.265,2849.915,467,N.A.
01:15 - 01:45,2861.318,3.053,2858.258,2867.641,2857.074,468,N.A.
01:45 - 02:15,2875.964,14.646,2861.318,2875.964,2861.224,311,N.A.
09FEB2020_00:00:00.000000,,,,,,,
20:15 - 20:45,2861.56,-14.404,2860.499,2861.56,2851.05,303,N.A.
20:45 - 21:15,2874.011,12.451,2861.808,2874.011,2861.808,467,N.A.
21:15 - 21:45,2881.852,7.841,2873.939,2886.727,2873.939,467,N.A.
21:45 - 22:15,2881.856,0.004,2880.463,2885.694,2876.643,467,N.A.
22:15 - 22:45,2864.635,-17.221,2881.68,2882.666,2863.981,468,N.A.
22:45 - 23:15,2864.635,0,2864.635,2864.635,2864.635,469,N.A.
23:15 - 23:45,2864.635,0,2864.635,2864.635,2864.635,469,N.A.
23:45 - 00:15,2872.256,7.621,2864.635,2873.262,2863.358,468,N.A.
10FEB2020_00:00:00.000000,,,,,,,
00:15 - 00:45,2876.197,3.941,2872.256,2878.872,2871.276,468,N.A.
00:45 - 01:15,2881.608,5.411,2876.197,2884.32,2873.862,467,N.A.
01:15 - 01:45,2886.731,5.123,2881.554,2888.03,2879.134,468,N.A.
01:45 - 02:15,2890.488,3.757,2887.203,2891.848,2886.527,312,N.A.
20:15 - 20:45,2903.552,13.064,2894.542,2903.552,2882.281,303,N.A.
20:45 - 21:15,2909.192,5.64,2903.48,2911.971,2896.642,467,N.A.
21:15 - 21:45,2908.978,-0.214,2909.192,2911.916,2904.54,468,N.A.
21:45 - 22:15,2898.233,-10.745,2908.978,2909.546,2890.677,468,N.A.
22:15 - 22:45,2900.137,1.904,2898.233,2902.564,2896.788,468,N.A.
22:45 - 23:15,2900.137,0,2900.137,2900.137,2900.137,470,N.A.
23:15 - 23:45,2900.137,0,2900.137,2900.137,2900.137,470,N.A.
23:45 - 00:15,2902.691,2.554,2900.137,2903.028,2896.872,469,N.A.
11FEB2020_00:00:00.000000,,,,,,,
00:15 - 00:45,2907.948,5.257,2902.147,2911.389,2901.03,468,N.A.
00:45 - 01:15,2912.575,4.627,2907.948,2913.664,2905.692,468,N.A.
01:15 - 01:45,2902.039,-10.536,2912.289,2912.289,2899.535,468,N.A.
01:45 - 02:15,2901.674,-0.365,2901.802,2902.621,2899.951,312,N.A.
20:15 - 20:45,2898.994,-2.68,2895.556,2901.206,2893.152,302,N.A.
20:45 - 21:15,2904.433,5.439,2898.994,2905.101,2892.597,467,N.A.
21:15 - 21:45,2898.11,-6.323,2904.433,2905.668,2898.002,467,N.A.
21:45 - 22:15,2904.733,6.623,2897.842,2905.001,2894.252,467,N.A.
22:15 - 22:45,2907.788,3.055,2904.574,2907.803,2904.5,469,N.A.
22:45 - 23:15,2907.788,0,2907.788,2907.788,2907.788,469,N.A.
23:15 - 23:45,2907.788,0,2907.788,2907.788,2907.788,470,N.A.
23:45 - 00:15,2914.061,6.273,2907.788,2915.715,2907.788,469,N.A.
12FEB2020_00:00:00.000000,,,,,,,
