Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
14JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51343.39,0,51343.39,51343.39,51343.39,1,N.A.
02:00 - 02:30,51483.39,140,51343.38,51593.72,51324.88,3439,N.A.
02:30 - 03:00,51445.14,-38.25,51483.34,51547.77,51442.28,2923,N.A.
03:00 - 03:30,51452.51,7.37,51447.08,51553.92,51428.99,5040,N.A.
03:30 - 04:00,51536.83,84.32,51452.33,51553.05,51411.04,4612,N.A.
04:00 - 04:30,51606.91,70.08,51536.75,51610.19,51506.54,3088,N.A.
04:30 - 05:00,51665.08,58.17,51607.39,51680.54,51573.84,3347,N.A.
05:00 - 05:30,51665.52,0.44,51665.01,51687.41,51621.25,2828,N.A.
05:30 - 06:00,51594.93,-70.59,51665.65,51687.76,51556.63,3070,N.A.
06:00 - 06:30,51474.42,-120.51,51594.97,51609.02,51456.32,3084,N.A.
06:30 - 07:00,51463.22,-11.2,51474.66,51474.69,51395.3,4029,N.A.
07:00 - 07:30,51535.39,72.17,51464.28,51553.18,51443.25,3405,N.A.
07:30 - 08:00,51497.42,-37.97,51535.43,51552,51486.12,2794,N.A.
08:00 - 08:30,51433.7,-63.72,51495.92,51508.95,51398.79,3510,N.A.
08:30 - 09:00,51449.49,15.79,51434.59,51466.97,51375.92,3678,N.A.
09:00 - 09:30,51502.19,52.7,51449.91,51514.2,51446.7,4639,N.A.
09:30 - 10:00,51616.39,114.2,51502.01,51646.72,51501.24,3885,N.A.
10:00 - 10:30,51725.89,109.5,51725.89,51725.89,51725.89,1,N.A.
15JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51725.89,0,51725.89,51725.89,51725.89,1,N.A.
02:00 - 02:30,51616.64,-109.25,51726.99,51733.31,51545.23,2373,N.A.
02:30 - 03:00,51598.6,-18.04,51616.51,51668.48,51460.48,3183,N.A.
03:00 - 03:30,51761.53,162.93,51600.71,51763.35,51599.31,3784,N.A.
03:30 - 04:00,51794.5,32.97,51761.36,51866.72,51756.25,3648,N.A.
04:00 - 04:30,51775.29,-19.21,51793.68,51806.36,51736.53,2844,N.A.
04:30 - 05:00,51775.47,0.18,51778.93,51801.41,51746.74,2209,N.A.
05:00 - 05:30,51849.68,74.21,51776.34,51855.26,51776.34,2554,N.A.
05:30 - 06:00,51827.04,-22.64,51849.91,51853.66,51805.52,2482,N.A.
06:00 - 06:30,51925.44,98.4,51828.26,51936.42,51818.56,2831,N.A.
06:30 - 07:00,51961.42,35.98,51926.07,51984.34,51906.77,3825,N.A.
07:00 - 07:30,51961.31,-0.11,51961.64,52021.5,51938.92,4043,N.A.
07:30 - 08:00,51967.14,5.83,51960.37,52004.86,51939.43,3374,N.A.
08:00 - 08:30,51927.65,-39.49,51967.26,51999.1,51904.49,3550,N.A.
08:30 - 09:00,51893.88,-33.77,51927.21,51975.06,51855.2,4744,N.A.
09:00 - 09:30,51838.74,-55.14,51895.33,51942.82,51814.33,6410,N.A.
09:30 - 10:00,51826.99,-11.75,51838.2,51899.28,51812.92,4483,N.A.
10:00 - 10:30,51835.06,8.07,51835.06,51835.06,51835.06,1,N.A.
16JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51835.06,0,51835.06,51835.06,51835.06,1,N.A.
02:00 - 02:30,51880.91,45.85,51833.31,52072.96,51794.98,2737,N.A.
02:30 - 03:00,51860.28,-20.63,51883.02,51893.04,51812.23,3151,N.A.
03:00 - 03:30,52019.12,158.84,51870.1,52035.38,51862.77,3478,N.A.
03:30 - 04:00,52002.2,-16.92,52018.84,52093,51945.59,2939,N.A.
04:00 - 04:30,51963.45,-38.75,52002.43,52044.18,51946.34,2560,N.A.
